Delay;exp1;exp2;exp3;exp4;exp5;exp6
0;0,5;0,5;0,5;0,5;0,5;0,5
100;1;0,5;;1;1;1
200;0,5;0,5;0,5;1,5;1,5;1,5
300;0,5;0,5;0,5;4;2;2
400;0,5;0,5;0,5;5;3;3
500;1;1;1;3,5;3,5;3,5
600;1,5;1,5;1;81,5;4,5;4,5
700;1,5;1,5;1,5;21,5;5;5,5
800;2;2;2;370,5;6;6,5
900;2,5;2,5;2,5;7;7;7
1000;3;2,5;3;132;7;7,5
1100;3,5;3,5;3,5;15;8,5;9,5
1200;3,5;3,5;4;16;10,5;10
1300;4;4,5;4;10,5;11,5;10,5
1400;4,5;4,5;4,5;11,5;13;11,5
1500;5;4,5;5;13;12;13
1600;5,5;5,5;5;13,5;13,5;13,5
1700;6;6;6,5;14;15,5;14,5
1800;7;6;7;15,5;17;16
1900;7,5;6,5;7;16,5;16,5;17
2000;7;7;7;29;17,5;17,5
2100;8,5;7,5;7,5;31;20;19,5
2200;189,5;8,5;9,5;32,5;21;19,5
2300;8,5;8,5;10,5;32,5;20,5;22
2400;10,5;9,5;9;35;22;22
2500;493,5;9,5;10;36;22,5;25,5
2600;10;10,5;11;37,5;24;23,5
2700;10,5;10,5;11,5;30;27,5;27
2800;11,5;13,5;59,5;29;26;29
2900;12,5;13;12,5;27;30,5;27
3000;12;13;13,5;28,5;;28,5
3100;18,5;18;19,5;30,5;31;31
3200;19,5;20;20;32,5;31;32
3300;20;21;21;33,5;34,5;33
3400;21;22;22,5;34;34,5;34
3500;22;23;23,5;36,5;35,5;36
3600;24,5;24,5;24,5;59,5;37,5;38
3700;24;24,5;25,5;38,5;39,5;38
3800;25;25,5;26,5;41,5;40,5;40,5
3900;26,5;27,5;26,5;42;43;43
4000;70;31;29;45,5;44;45
4100;32;32,5;32;45;45;952
4200;47;31;33,5;46;47,5;
4300;32,5;34;83,5;47,5;48;
4400;33;82;33,5;48,5;50;
4500;38,5;35,5;36,5;50;243;
4600;36;37;34;54,5;54;
4700;;38;38;53,5;53;
4800;40,5;40;39;56;55;
4900;39;40;185,5;56;57;
5000;39,5;39,5;38,5;57;59,5;
