Loss;exp1;exp2;exp3;exp4;exp5;exp6
0;0,5;0,5;0,5;0,5;0,3333333333;0,5
2;0,5;0,5;0,5;0,5;0,5;8,5
4;0,5;0,5;3,5;0,5;4,25;5,5
6;;0,5;34,5;19;2,5;33
8;16,5;;87,5;79;34,875;77,5
10;99;108;558;126,5;368,1666666667;171,5
12;258,5;268,5;508;338,5;234,5;426,5
14;362,5;784;928,5;1599,5;536,3333333333;507,5
16;971;;3610;1500,5;1998,1666666667;1157
18;99;780;466;991;118,125;1493
20;1052;550,5;2484,5;1013;657,375;955,5
22;1353;1065;2128,5;;;1018,5
24;101,5;515,5;713;817,5;658,1666666667;
26;;;526,5;1390;;
28;;1154,5;;;;
30;;;;1280;;217,5
32;;;;;;
34;264;;;;;1259
36;;;;;;115
